5,9,13,3,15,4,71/100
7,8,8,9,5,6,79/100
5,15,13,14,12,7,57/100
13,2,7,4,7,10,21/25
11,16,10,1,4,0,7/100
10,10,14,10,15,4,3/20
5,10,14,3,3,1,23/50
4,8,12,8,10,1,9/50
14,13,8,15,9,8,17/50
5,4,14,9,5,3,29/100
5,0,5,14,16,15,11/20
13,5,8,12,4,6,37/50
14,14,12,12,2,1,17/20
12,9,1,14,11,9,19/50
4,13,11,9,10,0,14/25
14,13,1,14,5,13,39/50
5,9,16,14,1,10,59/100
16,8,12,2,12,3,79/100
3,4,1,12,9,13,43/100
13,7,0,13,15,14,29/100
8,0,1,15,8,4,81/100
5,10,14,5,12,1,37/50
1,4,8,15,5,3,89/100
3,5,11,13,0,8,89/100
1,12,1,10,6,1,1/5
4,7,11,15,7,1,7/10
9,15,11,14,13,2,14/25
0,8,11,14,8,7,4/25
2,13,1,15,13,14,87/100
10,6,4,3,2,9,1/25
7,4,10,3,8,16,91/100
3,15,10,8,11,7,47/100
8,0,12,1,0,3,17/100
8,10,3,6,8,14,99/100
13,6,1,5,16,14,19/100
3,8,15,9,0,16,81/100
6,3,4,3,1,0,19/25
14,2,9,11,14,2,13/25
4,12,15,15,6,10,11/25
11,13,5,3,1,1,67/100
15,1,11,8,12,16,19/50
1,12,4,5,7,13,99/100
13,2,6,6,0,14,41/50
0,8,11,1,3,3,89/100
8,16,10,4,14,3,83/100
6,10,6,13,11,8,1/20
0,2,10,4,14,0,23/50
6,5,7,7,14,15,23/25
13,12,9,1,3,2,17/20
10,14,12,14,10,13,7/100
0,1,0,16,14,11,13/100
15,10,6,7,8,11,33/50
7,8,2,11,11,15,43/50
7,13,0,2,8,5,57/100
0,9,10,6,4,14,9/100
10,2,4,13,10,14,19/20
1,13,0,10,11,7,41/100
13,2,6,1,14,3,33/50
13,11,12,1,16,15,3/100
1,7,8,1,4,13,7/25
0,2,14,12,8,6,11/25
14,11,9,10,15,2,13/100
11,5,12,13,16,0,9/50
3,5,1,4,16,0,91/100
4,11,2,2,0,9,89/100
4,15,11,6,5,15,11/100
14,7,6,0,0,9,18/25
11,8,14,8,2,2,13/100
8,13,3,10,3,8,33/50
11,1,7,4,0,11,3/50
15,1,16,5,15,7,21/25
12,14,3,7,0,4,41/50
9,4,0,8,12,15,1/10
2,4,13,3,11,6,19/100
11,3,10,11,0,1,43/50
9,10,6,5,5,13,16/25
4,10,3,3,9,15,97/100
8,3,16,16,15,7,9/25
5,11,11,14,14,8,37/100
9,0,13,8,10,14,22/25
8,11,0,11,11,3,37/50
0,11,1,1,13,11,39/100
13,0,9,10,5,12,19/50
14,13,12,16,10,4,31/50
10,1,0,9,2,14,69/100
9,13,3,7,14,9,41/100
15,5,7,16,6,7,41/50
16,7,6,1,15,1,39/100
9,4,10,16,1,4,33/50
15,6,12,7,10,16,59/100
16,11,11,13,4,1,37/100
